ToyCar
id,AUC,pAUC
01,0.8096753246753247,0.6840966051492366
02,0.944010781671159,0.8778833877145694
03,0.9833153638814016,0.951709462335083
04,0.9996873315363881,0.998354376507306
Average,0.9341722004410684,0.8780109579265487
ToyConveyor
id,AUC,pAUC
01,0.8695765624999999,0.7488569078947368
02,0.6391742957746479,0.5439214232765011
03,0.7416770963704631,0.5945524938048024
Average,0.7501426515483702,0.6291102749920133
fan
id,AUC,pAUC
00,0.9981572481572482,0.9922410448726238
02,0.9982451253481894,0.9907638176220495
04,0.7695545977011495,0.6940411373260738
06,0.9999999999999999,1.0
Average,0.9414892428016468,0.9192614999551867
pump
id,AUC,pAUC
00,0.9011188811188812,0.7938903202061096
02,0.9033333333333332,0.7586533902323376
04,1.0,1.0
06,0.9670098039215687,0.9040247678018576
Average,0.9428655045934458,0.8641421195600762
slider
id,AUC,pAUC
00,1.0,1.0
02,0.9887265917602996,0.9406662724226296
04,1.0,1.0
06,0.9989887640449437,0.9946777054997042
Average,0.9969288389513109,0.9838359944805835
valve
id,AUC,pAUC
00,0.9998319327731092,0.9991154356479435
02,0.9869166666666667,0.9412280701754386
04,1.0,1.0
06,0.9980833333333334,0.9899122807017544
Average,0.9962079831932773,0.9825639466312841
Total Average,0.9269677369215198,0.8761541322576155
