ToyCar
id,AUC,pAUC
01,0.8785443722943722,0.7497151970836182
02,0.9823719676549865,0.9203007518796993
03,0.978345013477089,0.9391686764080012
04,0.9994716981132076,0.997219463753724
Average,0.9596832628849138,0.9016010222812607
ToyConveyor
id,AUC,pAUC
01,0.8317390625,0.7371299342105263
02,0.6459929577464788,0.552918828762046
03,0.7754887271060658,0.6497475996218401
Average,0.7510735824508482,0.6465987875314708
fan
id,AUC,pAUC
00,0.9851228501228502,0.9588775378249061
02,0.9997771587743733,0.9988271514440699
04,0.9130316091954023,0.7544615849969751
06,1.0,1.0
Average,0.9744829045231564,0.9280415685664878
pump
id,AUC,pAUC
00,0.9320629370629372,0.7817445712182555
02,0.8302252252252252,0.7143195827406353
04,0.9999,0.9994736842105263
06,0.9752941176470589,0.9112487100103199
Average,0.9343705699838054,0.8516966370449343
slider
id,AUC,pAUC
00,1.0,1.0
02,0.9778651685393258,0.8835008870490834
04,1.0,1.0
06,0.9999999999999999,1.0
Average,0.9944662921348315,0.9708752217622708
valve
id,AUC,pAUC
00,0.9999159663865546,0.9995577178239717
02,0.986,0.9342105263157894
04,0.9998333333333334,0.9991228070175437
06,0.9999166666666667,0.999561403508772
Average,0.9964164915966387,0.9831131136665192
Total Average,0.9350821839290324,0.8803210584754906
